Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
id,case_report_baseline,,text,Record ID,,,,,,,,y,RH,,,,
site_id,case_report_baseline,,text,Study Site Code,,,,,,,,y,RH,,,,
quality,case_report_baseline,,radio,Quality and completeness of information,"1, Unacceptable|2, Acceptable|3, Superior","Completeness of patient records is defined by estimated percentage of targeted information available (Superior=80-100%, Acceptable=50-70%, Unacceptable=<50%)",,,,,,y,RH,,,,
date_review,case_report_baseline,,text,Review Date,,if empty enter 01/01/1999,date_ymd,,,,,y,RH,,,,
reviewer_initials,case_report_baseline,,text,Reviewer's Initials,,,,,,,,y,RH,,,,
ip_no,case_report_baseline,,text,Medical record/ in-patient number,,,,,,,,y,RH,,,,
birth_date,case_report_baseline,,text,Date of birth,,if empty enter 01/01/1999,date_ymd,,,,,y,RH,,,,
admn_date,case_report_baseline,,text,Date of admission,,,date_ymd,,,,,y,RH,,,,
delivery,case_report_baseline,,radio,Method of delivery,"1,Normal delivery|2,C-section",,,,,,,y,RH,,,,
sex,case_report_baseline,,radio,Sex,"1,Male|2,Female",,,,,,,y,RH,,,,
gestation,case_report_baseline,,text,Gestational age,,,number,,,,,y,RH,,,,
multiple_pregnancy,case_report_baseline,,radio,Multiple pregnancy,"1,Singleton|2,Twin|3,Triplet|999,Other",,,,,,,y,RH,,,,
multiple_pregnancy_other,case_report_baseline,,text,Specify other forms of multiple pregnancy,,,,,,,[multiple_pregnancy] = '999',,RH,,,,
bba,case_report_baseline,,radio,In-born/out-born patient,"1,In-born|2,Out-born",,,,,,,y,RH,,,,
mother_age,case_report_baseline,,text,Mother's age,,,number,,,,,y,RH,,,,
birth_order,case_report_baseline,,text,Birth order,,,,,,,,y,RH,,,,
birth_wt,case_report_baseline,,text,Birth weight (kg),,,number,,,,,y,RH,,,,
apgar_score,case_report_baseline,,radio,Apgar score,"1,1 min|2,5 min",,,,,,,y,RH,,,,
admn_reason,case_report_baseline,<h1></h1> <h2><font color=blue> Reason for admission</font></h2>,checkbox,Reason for admission,"1,Low birth weight (LBW)|2,Prematurity|3,Birth asphyxia|4,Pneumonia|5,Hypothermia|6,Sepsis|7,Jaundice|8,Physical trauma|9,Congenital abnormality/birth defect (specify)|999,Other (specify)",check all that apply,,,,,,y,RH,,,,
birth_defect_adm,case_report_baseline,,text,Speciy congenital abnormality/ birth defect,,,,,,,[admn_reason(9)] <> '',,RH,,,,
admn_reason_other,case_report_baseline,,text,Specify other admission reasons,,"List all admission reasons not included in the list, separating with ';'",,,,,[admn_reason(999)] <> '',,RH,,,,
tests,case_report_baseline,<h1></h1> <h2><font color=blue> tests and investigations performed</font></h2>,checkbox,Diagnostic tests and investigations,"1,Complete blood analysis|2,Pneumonia|3,Malaria|4,ECG|5,Echo|6, Ultra sound|999,Other (specify)",,,,,,,y,RH,,,,
tests_other,case_report_baseline,,text,Other tests not listed,,,,,,,[tests(999)] <> '',y,RH,,,,
treatments,case_report_baseline,<h1></h1> <h2><font color=blue> treatment received</font></h2>,checkbox,check all that apply,"1,Suction|2,Bag and mask ventilation|3,Oxygen resuscitation|4,Infant warmer|5,Phototherapy|6,Antibiotics|7,Anti-virals|8,Anti-malarials|9,Assisted feeding|10,Routine vaccinations|11,Fluids or electrolytes|12,Blood transfusions|999, Other (specify)",,,,,,,y,RH,,,,
treatments_other,case_report_baseline,,text,other trestments not listed,,,,,,,[treatments(999)] <> '',,RH,,,,
outcome,case_report_baseline,,radio,Patient's outcome,"1,Alive|2,Dead|3,Referred|-1,Unknown/empty",,,,,,,y,RH,,,,
date_discharge,case_report_baseline,,text,Date of discharge/referral/death,,,date_ymd,,,,,y,RH,,,,
discharge_notes,case_report_baseline,,notes,Discharge/referral/follow-up notes,,,,,,,,y,RH,,,,
cause_of_death,case_report_baseline,,dropdown,Cause of death,"1,LBW|2,Birth asphyxia|3,Sepsis|4,Pneumonia|5,Birth defect (specify)|999, Other (specify)|-1, Unknown",,,,,,[outcome] = '2',,RH,,,,
birth_defect_death,case_report_baseline,,text,Specify birth defect at death,,,,,,,[cause_of_death] = '5',,RH,,,,
cause_of_death_other,case_report_baseline,,text,Other cause of death,,,,,,,[cause_of_death] = '999',,RH,,,,
readmission,case_report_baseline,,yesno,Patient readmitted at a later date after discharge,,,,,,,[outcome] = '1' or [outcome] = '3',,RH,,,,
date_readmn,case_report_baseline,,text,Date of readmission,,,date_ymd,,,,[readmission] = '1',,RH,,,,
reason_readmission,case_report_baseline,,text,Reason for readmission,,,,,,,[readmission] = '1',,RH,,,,
vital_signs_recorded,case_report_baseline,<h1></h1> <h2><font color=blue> vital sign record</font></h2>,yesno,Were any vital signs recorded in the patient chart?,,,,,,,,,RH,,,,
vital_signs,case_report_baseline,,checkbox,Vital signs recorded,"1,Temperature|2,Pulse/heart rate|3, Oxygen saturation (SpO2)|4,Respiratory rate|5, Blood pressure",,,,,,,,RH,,,,
