Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
id,biodata,,text,Participant ID,,,,,,,,y,RH,,,,
site_id,biodata,,text,Study Site Code,,,,,,,,y,RH,,,,
interviewer_initials,biodata,,text,Interviewers Initials,,,,,,,,y,RH,,,,
date_observed,biodata,,text,Date,,if empty enter 01/01/1999,date_ymd,,,,,y,RH,,,,
relation,biodata,,radio,Relationship to enrolled neonate,"1, Mother|2, Father|3, Grandparent|999, Other (specify)",,,,,,,y,RH,,,,
relation_other,biodata,,text,Other kind of relationship not listed,,,,,,,[relation] = '999',,RH,,,,
usage,biodata,,radio,I have observed the use of the neoGuardTM product on my newborn for ,"1, 1 - 2 days|2, 3 - 4 days|3, 5 - 7 days|999, Other (specify)",,,,,,,y,RH,,,,
usage_other,biodata,,text,Other (specify),,,,,,,[usage] = '999',,RH,,,,
reaction,acceptability,<h1></h1> <h2><font color=blue>1. Acceptability</font></h2>,notes,What was your first reaction to the neoGuardTM product?,,,,,,,,y,RH,,,,
nurse_exp,acceptability,,yesno,Did the nurses adequately explain the purpose of the neoGuardTM product to you?   ,,,,,,,,y,RH,,,,
nurse_exp_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
ask,acceptability,,yesno,Were you given the opportunity to ask questions or express your concerns about the device?  ,,,,,,,,y,RH,,,,
ask_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
nurse_resp,acceptability,,yesno,Were the nurses able to respond to all your questions and concerns?     ,,,,,,,,y,RH,,,,
nurse_resp_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
reaction_baby,acceptability,,notes,How did you feel seeing the neoGuardTM product attached to your baby? ,,,,,,,,y,RH,,,,
interfere,acceptability,,yesno,"Did you feel that the neoGuardTM product significantly interfered with your ability to interact (e.g. clean, breastfeed or kangaroo care) with your baby?   ",,,,,,,,y,RH,,,,
interfere_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
unsafe,acceptability,,yesno,Did you feel that your baby was unsafe at any point during their hospitalization?      ,,,,,,,,y,RH,,,,
unsafe_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
impact,acceptability,,radio,Did you feel that the neoGuardTM product would contribute positively or negatively to the monitoring or safety of your baby?      ,"1, Positively|2, Negatively",,,,,,,y,RH,,,,
impact_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
complain,acceptability,,yesno,Did you raise any complaints or concerns about the device while your baby was being monitored,,,,,,,,y,RH,,,,
complain_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
other_complain,acceptability,,yesno,"Have you heard any complaints about the device from others (including parents, doctors, nurses)?",,,,,,,,y,RH,,,,
other_complain_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
like,acceptability,,yesno,"Overall, do you like this device?     ",,,,,,,,y,RH,,,,
like_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
dislike,acceptability,,yesno,Is there anything you dislike about this device,,,,,,,,y,RH,,,,
dislike_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
recommend,acceptability,,yesno, Would you recommend this device to a friend or family member with a hospitalized baby?  ,,,,,,,,y,RH,,,,
recommend_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
overal_rate,acceptability,,radio,"Overall, how would you rate your acceptance of the neoGuardTM product?","1, Very high|2, Somewhat high|3, Undecided|4, Somewhat low|5, Very low",,,,,,,y,RH,,,,
overal_rate_note,acceptability,,notes,Explain,,,,,,,,y,RH,,,,
feedback_1,acceptability,,yesno,Do you have any additional feedback to share concerning the acceptability of the neoGuardTM product?     ,,,,,,,,y,RH,,,,
feedback_1_note,acceptability,,notes,Explain,,,,,,,[feedback_1] = '1',,RH,,,,
