Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
id,acceptability,,text,Participant ID,,,,,,,,y,RH,,,,
site_id,acceptability,,text,Study Site Code,,,,,,,,y,RH,,,,
evaluator_initials,acceptability,,text,Evaluator Initials,,,,,,,,y,RH,,,,
date_observed,acceptability,,text,Date,,if empty enter 01/01/1999,date_ymd,,,,,y,RH,,,,
cadre,acceptability,,radio,Cadre,"1,Peditrician|2,Medical officer|3,Nursing officer/midwife|4,Nursing assistant|999,Other (specify)",,,,,,,,,,,,
cadre_othe,acceptability,,text,Other cadres,,,,,,,[cadre] = '999',,,,,,
experince,acceptability,,radio,Years of medical experince,"1, 1 - 2 years|2, 3 - 5 years|3, 6 - 10 years|4, 11 - 15 years|5, More than 15 years",,,,,,,,,,,,
reaction,acceptability,<h1></h1> <h2><font color=blue>1.  Acceptability</font></h2>,radio,What was your first reaction to neoGurdTM technology?,"1,Positive|2, Somewhat positive|3, Undecided|4, Somewhat negative|5, Negative",,,,,,,,,,,,
reaction_note,acceptability,,notes,Explain on your reaction:,,,,,,,,,,,,,
safety,acceptability,,radio,How would you rate the safety of neoGuardTM device,"1, Very safe|2, Somewhat safe|3, Undecided|4, Somewhat unsafe|5,Unsafe",,,,,,,,,,,,
safety_note,acceptability,,notes,Explain your rank of safety,,,,,,,,,,,,,
concerns,acceptability,,yesno,Any concerns about attaching the device to a baby?,,,,,,,,,,,,,
concerns_note,acceptability,,notes,Elaborate concerns if any,,,,,,,,,,,,,
explainability,acceptability,,radio,How would you rate your ability to explain to caretakes and parents how the device works and to their concerns?,"1, Excellent|2, Very good|3, Above average|4, Average|5, Below average|6, Very poor",,,,,,,,,,,,
explainability_note,acceptability,,notes,Explain:,,,,,,,,,,,,,
accurcy,acceptability,,radio,How would you rate the accuracy of neoGuardTM technology?,"1, Always accurate|2, Often accurate|3, Sometimes accurate|4, Rarely accurate|5, Never accurate|6, Note sure",,,,,,,,,,,,
accurcy_note,acceptability,,notes,Explain,,,,,,,,,,,,,
complaints,acceptability,,yesno,Do you have any complaints or concerns about the technology?,,,,,,,,,,,,,
complaints_note,acceptability,,notes,Explain,,,,,,,,,,,,,
like,acceptability,,radio,"Overall, do you like this product?","0, No|1, Yes|2, Undecided",,,,,,,,,,,,
like_note,acceptability,,notes,Explain,,,,,,,,,,,,,
recommend,acceptability,,yesno,Would you recommend the use of neoguardTM devices for use in your patients,,,,,,,,,,,,,
recommend_note,acceptability,,notes,Explain,,,,,,,,,,,,,
acceptance,acceptability,,radio,"Overall, how would you rate your acceptance of the neoGuardTM technology?","1, Very high|2, Somewhat high|3, Undecided|4, Somewhat low|5, Very low",,,,,,,,,,,,
acceptance_note,acceptability,,notes,Explain,,,,,,,,,,,,,
feedback_1,acceptability,,yesno,Do you have any additional feedback to share concerning the acceptability of the neoGuardTM technology for the Kenyan clinical setting?     ,,,,,,,,,,,,,
feedback_1_note,acceptability,,notes,Explain,,,,,,,[feedback_1] = '1',,,,,,
problems,usability,<h1></h1> <h2><font color=blue>2.  Practicality and usability</font></h2>,yesno,Did you experience any problems or mistakes using the neoGuardTM device,,"e.g., turning the device ON/OFF, charging the device, e.t.c",,,,,,,,,,,
problems_note,usability,,notes,Explain,,,,,,,,,,,,,
led,usability,,yesno,Do you think that the LED lights were a useful way to communicate device status ,,"i.e. device is connected/disconnected, device is turned ON/OFF, e.t.c.",,,,,,,,,,,
led_notes,usability,,notes,Explain,,,,,,,,,,,,,
led_status,usability,,yesno,Do you think that the LED lights were a useful way to communicate patient status ,,i.e. low or high vital signs,,,,,,,,,,,
led_status_note,usability,,notes,Explain,,,,,,,,,,,,,
experience_band,usability,,radio,"Overall, how would you describe your experience attaching the neoGuardTM band on the baby?","1, Very easy|2, Moderately easy|3, Moderately difficult|4, Very difficult",,,,,,,,,,,,
experience_band_note,usability,,notes,Explain,,,,,,,,,,,,,
band_chart,usability,,radio,"During the study, how often did you use the band sizing chart as a reference for connecting the device?","1, Always|2, Usually|3, Sometimes|4, Rarely|5, Never",,,,,,,,,,,,
band_chart_note,usability,,notes,Explain,,,,,,,,,,,,,
chart_accuracy,usability,,radio,How accurate do you consider the band sizing chart as a reference for connecting the device?,"1, Always accurate|2, Usually accurate|3, Sometimes accurate|4, Rarely accurate|5, Never accurate",,,,,,,,,,,,
chart_accuracy_note,usability,,notes,Explain,,,,,,,,,,,,,
reference,usability,,radio,"Overall, how useful do you consider the band sizing chart as a reference for connecting the device?","1, Very useful|2, Somewhat useful|3, Undecided|4, Not very useful|5, Not useful at all",,,,,,,,,,,,
reference_note,usability,,notes,Explain,,,,,,,,,,,,,
no_devices,usability,,radio,"In normal practice, how many devices would be sufficient to adequately monitor the babies admitted to your neonatal unit?","1,5 devices|2, 10 devices|3, 15 devices|4, 20 devices|999, Other (specify)",,,,,,,,,,,,
no_devices_other,usability,,text,Enter number of devices,,,,,,,[no_devices] = '999',,,,,,
location,usability,,yesno,Were all the nurses able to agree on a central location for the Neopenda tablet?  ,,,,,,,,,,,,,
location_note,usability,,notes,Explain,,,,,,,,,,,,,
relocation,usability,,radio,How often was the Neopenda tablet removed from the agreed upon central location,"1, Always|2, Usually|3, Sometimes|4, Rarely|5, Never",,,,,,,,,,,,
relocation_note,usability,,notes,Explain,,,,,,,,,,,,,
location_rank,usability,,radio,"Overall, how would you rate the appropriateness of the central location for the Neopenda tablet?","1, Very appropriate|2, Somewhat appropriate|3, Somewhat inappropriate|4, Not appropriate at all",,,,,,,,,,,,
location_rank_note,usability,,notes,Explain,,,,,,,,,,,,,
difficulty,usability,,yesno,Did you experience any difficulty using the tablet and/or Neopenda app?    ,,,,,,,,,,,,,
difficulty_note,usability,,notes,Explain,,,,,,,,,,,,,
add_patient,usability,<h1></h1> <h2><font color=blue>Rate Neopanda app ease of use</font></h2>,radio,Adding a new patient to the app,"1, Very easy|2, Moderately easy|3, Moderately difficult|4, Very difficult|-1, NA",,,,,,,,,,use,,
remove_patient,usability,,radio,Removing a patient from the app,"1, Very easy|2, Moderately easy|3, Moderately difficult|4, Very difficult|-1, NA",,,,,,,,,,use,,
change_limits,usability,,radio,Changing vital sign alert limits,"1, Very easy|2, Moderately easy|3, Moderately difficult|4, Very difficult|-1, NA",,,,,,,,,,use,,
get_readings,usability,,radio,Obtaining real time vital sign readings,"1, Very easy|2, Moderately easy|3, Moderately difficult|4, Very difficult|-1, NA",,,,,,,,,,use,,
read_trends,usability,,radio,Viewing trend graphs and trend charts,"1, Very easy|2, Moderately easy|3, Moderately difficult|4, Very difficult|-1, NA",,,,,,,,,,use,,
report_event,usability,,radio,Reporting an adverse event,"1, Very easy|2, Moderately easy|3, Moderately difficult|4, Very difficult|-1, NA",,,,,,,,,,use,,
access_files,usability,,radio,Accessing archived files for discharged patients,"1, Very easy|2, Moderately easy|3, Moderately difficult|4, Very difficult|-1, NA",,,,,,,,,,use,,
report_issue,usability,,radio,Reporting a product issue,"1, Very easy|2, Moderately easy|3, Moderately difficult|4, Very difficult|-1, NA",,,,,,,,,,use,,
mother_name,usability,"<h1></h1> <h2><font color=blue>Indicate whether the following patient information should be ""REQUIRED"" or ""OPTIONAL""</font></h2>",radio,Mother’s name,"1, REQUIRED|2, OPTIONAL",,,,,,,,,,info,,
patient_name,usability,,radio,Patient’s name,"1, REQUIRED|2, OPTIONAL",,,,,,,,,,info,,
patient_no,usability,,radio,Patient’s medical record number,"1, REQUIRED|2, OPTIONAL",,,,,,,,,,info,,
mother_no,usability,,radio,Mother’s medical record number,"1, REQUIRED|2, OPTIONAL",,,,,,,,,,info,,
date_birth,usability,,radio,Date of Birth,"1, REQUIRED|2, OPTIONAL",,,,,,,,,,info,,
sex,usability,,radio,Sex ,"1, REQUIRED|2, OPTIONAL",,,,,,,,,,info,,
birth_location,usability,,radio,Location of birth (in-born/out-born),"1, REQUIRED|2, OPTIONAL",,,,,,,,,,info,,
