female,memberships,age,protestant,post_weights,region
1,1,1.5,0,1.0039442,326
0,3,-0.6,,1.3765,326
1,1,2,0,0.5019209,326
0,0,0,0,0.4866335,326
1,0,1.4,0,0.4290148,326
0,0,-0.1,0,1.4183729,326
0,0,0.8,0,1.2934556,326
0,0,-0.4,0,1.2934556,326
0,2,2.2,0,1.6335075,326
0,3,-0.2,1,0.9733664,326
1,0,2.4,0,1.0589412,326
1,0,2.2,0,1.0589412,326
1,0,-0.1,0,1.0593923,326
1,6,-1,0,1.1534517,326
0,2,-0.3,0,0.7091141,326
0,1,1,0,0.64666176,326
1,0,1.5,0,0.5294166,326
0,0,-1.3,0,1.3765,326
0,1,0.6,0,0.64666176,326
0,1,1.3,0,0.4866335,326
1,2,-0.7,0,1.1804466,326
1,0,-0.5,0,0.8581172,326
1,0,0.1,0,0.8581172,326
0,0,2.5,0,2.1238115,326
0,2,0,0,0.7091141,326
0,1,-1.2,0,1.5490514,326
1,1,0,0,0.8581172,326
0,0,0.1,0,0.9733664,326
1,0,-0.9,0,0.6447758,326
1,0,1.3,0,0.7062856,326
0,0,-1.2,0,2.0646799,326
0,1,-0.9,,1.3765,326
0,0,0.4,0,0.64666176,326
0,2,1,0,1.2934556,326
0,1,-0.6,0,1.4258857,326
0,0,-0.8,0,0.68817973,326
1,1,0.5,0,0.4290148,326
1,0,1.3,0,1.0593923,326
0,0,-0.2,0,1.4183729,326
1,1,1.5,0,0.7246766,326
1,0,0.6,0,0.8581172,326
1,1,-0.5,0,0.5530827,326
0,1,-1.2,0,0.71287006,326
0,1,0.1,0,0.9733664,326
0,0,-0.9,0,0.68817973,326
1,1,0.8,0,0.5530827,326
1,1,0.7,0,0.5530827,326
0,1,-0.1,0,1.4599999,326
1,0,0.2,0,0.5530827,326
0,1,0.8,0,1.4183729,326
0,0,1,0,1.4183729,326
0,1,1.2,0,1.4183729,326
0,2,1,0,1.2934556,326
0,1,2,0,0.42472765,326
0,1,2.3,0,0.84954196,326
1,1,0.9,1,1.659361,326
0,1,1.3,0,2.127487,326
0,0,2.4,0,1.6335075,326
0,2,0,0,1.2934556,326
0,1,0.5,0,0.64666176,326
1,1,-0.8,0,1.1534517,324
1,1,-1.1,0,0.5901631,326
1,1,0.4,0,1.1062783,326
1,2,-1.3,0,1.1804466,326
0,0,0.5,0,0.4866335,326
0,0,-1.2,0,2.3234982,326
1,1,0.6,0,0.8581172,326
1,0,1.7,0,0.7246766,326
1,3,-0.2,0,1.1062783,326
0,0,2,0,1.6335075,326
1,3,0,1,1.1062783,326
1,1,1.3,0,0.35310677,327
0,3,1.5,0,0.65757006,327
1,1,0.2,0,0.8581172,327
1,2,-0.7,1,0.6447758,327
1,1,0.5,0,0.5530827,327
1,1,1.1,0,1.0593923,327
1,2,1.1,0,1.0593923,327
1,0,1.1,0,0.35310677,327
1,3,0.3,0,0.8581172,327
1,2,-1.5,0,0.576667,327
0,4,1.7,0,0.65757006,327
0,2,1.4,1,1.4183729,327
1,1,-1.1,0,1.2896832,327
1,0,0,0,0.8917895,230
1,1,-0.5,0,0.69174266,230
0,4,-1.2,1,0.5746565,230
1,1,0.8,0,1.783579,230
1,2,1.5,0,1.1684672,230
0,0,-0.7,,1.1096196,230
0,0,1.9,0,1.3167977,230
0,1,-1.3,0,1.2487164,230
1,0,0.9,0,1.3376387,230
1,1,-1.1,0,0.9298167,230
0,1,1.6,0,0.68483,230
1,1,1.2,0,0.69174266,230
1,1,-1.4,1,0.9298167,230
1,0,0.1,0,0.69174266,230
1,1,0.6,0,0.56934863,230
