"symboling","make","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","wheel.base","length","width","height","curb.weight","engine.type","num.of.cylinders","engine.size","fuel.system","bore","stroke","compression.ratio","horsepower","peak.rpm","city.mpg","highway.mpg","price","log_price"
3,"alfa-romero","gas","std","two","hardtop_convert","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","three_four",130,"mpfi",3.47,2.68,9,111,5000,21,27,13495,9.5100745254521
3,"alfa-romero","gas","std","two","hardtop_convert","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","three_four",130,"mpfi",3.47,2.68,9,111,5000,21,27,16500,9.71111565988867
1,"alfa-romero","gas","std","two","hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv","five_six",152,"mpfi",2.68,3.47,9,154,5000,19,26,16500,9.71111565988867
2,"audi","gas","std","four","sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc","three_four",109,"mpfi",3.19,3.4,10,102,5500,24,30,13950,9.54323478724951
2,"audi","gas","std","four","sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc","five_six",136,"mpfi",3.19,3.4,8,115,5500,18,22,17450,9.76709492763057
2,"audi","gas","std","two","sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc","five_six",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250,9.63233478203556
1,"audi","gas","std","four","sedan","fwd","front",105.8,192.7,71.4,55.7,2844,"ohc","five_six",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,17710,9.78188473077688
1,"audi","gas","std","four","wagon","fwd","front",105.8,192.7,71.4,55.7,2954,"ohc","five_six",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,18920,9.84797484260587
1,"audi","gas","turbo","four","sedan","fwd","front",105.8,192.7,71.4,55.9,3086,"ohc","five_six",131,"mpfi",3.13,3.4,8.3,140,5500,17,20,23875,10.0805871653489
2,"bmw","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","three_four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430,9.70686421103131
0,"bmw","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","three_four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925,9.73654709778048
0,"bmw","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc","five_six",164,"mpfi",3.31,3.19,9,121,4250,21,28,20970,9.95084812389597
0,"bmw","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc","five_six",164,"mpfi",3.31,3.19,9,121,4250,21,28,21105,9.9572652582166
1,"bmw","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3055,"ohc","five_six",164,"mpfi",3.31,3.19,9,121,4250,20,25,24565,10.1090779446027
0,"bmw","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3230,"ohc","five_six",209,"mpfi",3.62,3.39,8,182,5400,16,22,30760,10.3339704236196
0,"bmw","gas","std","two","sedan","rwd","front",103.5,193.8,67.9,53.7,3380,"ohc","five_six",209,"mpfi",3.62,3.39,8,182,5400,16,22,41315,10.6289809091353
0,"bmw","gas","std","four","sedan","rwd","front",110,197,70.9,56.3,3505,"ohc","five_six",209,"mpfi",3.62,3.39,8,182,5400,15,20,36880,10.5154246776705
2,"chevrolet","gas","std","two","hatchback","fwd","front",88.4,141.1,60.3,53.2,1488,"l","three_four",61,"2bbl",2.91,3.03,9.5,48,5100,47,53,5151,8.54694614956558
1,"chevrolet","gas","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","three_four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6295,8.74751094647845
0,"chevrolet","gas","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","three_four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6575,8.79102985704596
1,"dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","three_four",90,"2bbl",2.97,3.23,9.41,68,5500,37,41,5572,8.6255093348997
1,"dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","three_four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6377,8.76045304631527
1,"dodge","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","three_four",98,"mpfi",3.03,3.39,7.6,102,5500,24,30,7957,8.98180732337753
1,"dodge","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","three_four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229,8.73697108525415
1,"dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","three_four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692,8.80866806210672
1,"dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","three_four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609,8.93708703617652
1,"dodge","gas","turbo","?","sedan","fwd","front",93.7,157.3,63.8,50.6,2191,"ohc","three_four",98,"mpfi",3.03,3.39,7.6,102,5500,24,30,8558,9.05462179697676
-1,"dodge","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","three_four",122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921,9.09616332691378
3,"dodge","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2811,"ohc","three_four",156,"mfi",3.6,3.9,7,145,5000,19,24,12964,9.46993156426144
2,"honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1713,"ohc","three_four",92,"1bbl",2.91,3.41,9.6,58,4800,49,54,6479,8.77632145644996
2,"honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","three_four",92,"1bbl",2.91,3.41,9.2,76,6000,31,38,6855,8.83273359199642
1,"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","three_four",79,"1bbl",2.91,3.07,10.1,60,5500,38,42,5399,8.59396903021829
1,"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","three_four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,6529,8.78400907118663
1,"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","three_four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7129,8.87192625111763
0,"honda","gas","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","three_four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7295,8.89494446095689
0,"honda","gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","three_four",92,"1bbl",2.92,3.41,9.2,76,6000,30,34,7295,8.89494446095689
0,"honda","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc","three_four",110,"1bbl",3.15,3.58,9,86,5800,27,33,7895,8.97398492668974
0,"honda","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc","three_four",110,"1bbl",3.15,3.58,9,86,5800,27,33,9095,9.11548009095222
0,"honda","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc","three_four",110,"1bbl",3.15,3.58,9,86,5800,27,33,8845,9.08760760659389
0,"honda","gas","std","four","sedan","fwd","front",96.5,175.4,62.5,54.1,2372,"ohc","three_four",110,"1bbl",3.15,3.58,9,86,5800,27,33,10295,9.23941361946189
0,"honda","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2465,"ohc","three_four",110,"mpfi",3.15,3.58,9,101,5800,24,28,12945,9.46846489218564
1,"honda","gas","std","two","sedan","fwd","front",96.5,169.1,66,51,2293,"ohc","three_four",110,"2bbl",3.15,3.58,9.1,100,5500,25,31,10345,9.24425859017964
0,"isuzu","gas","std","four","sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc","three_four",111,"2bbl",3.31,3.23,8.5,78,4800,24,29,6785,8.82246957226897
2,"isuzu","gas","std","two","hatchback","rwd","front",96,172.6,65.2,51.4,2734,"ohc","three_four",119,"spfi",3.43,3.23,9.2,90,5000,24,29,11048,9.31000469508913
0,"jaguar","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","five_six",258,"mpfi",3.63,4.17,8.1,176,4750,15,19,32250,10.3812733222239
0,"jaguar","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","five_six",258,"mpfi",3.63,4.17,8.1,176,4750,15,19,35550,10.4786954352314
0,"jaguar","gas","std","two","sedan","rwd","front",102,191.7,70.6,47.8,3950,"ohcv","eight_twelve",326,"mpfi",3.54,2.76,11.5,262,5000,13,17,36000,10.4912742174382
1,"mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1890,"ohc","three_four",91,"2bbl",3.03,3.15,9,68,5000,30,31,5195,8.55545190353333
1,"mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1900,"ohc","three_four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6095,8.71522404191537
1,"mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1905,"ohc","three_four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6795,8.82394232658524
1,"mazda","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1945,"ohc","three_four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6695,8.80911625812527
1,"mazda","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1950,"ohc","three_four",91,"2bbl",3.08,3.15,9,68,5000,31,38,7395,8.9085593751449
1,"mazda","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","three_four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8845,9.08760760659389
0,"mazda","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","three_four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8495,9.04723303410603
1,"mazda","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","three_four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10595,9.2681374707024
0,"mazda","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","three_four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10245,9.234545060673
0,"mazda","diesel","std","?","sedan","fwd","front",98.8,177.8,66.5,55.5,2443,"ohc","three_four",122,"idi",3.39,3.39,22.7,64,4650,36,42,10795,9.28683834294891
0,"mazda","gas","std","four","hatchback","fwd","front",98.8,177.8,66.5,55.5,2425,"ohc","three_four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,11245,9.32767886439342
0,"mazda","gas","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2670,"ohc","three_four",140,"mpfi",3.76,3.16,8,120,5000,19,27,18280,9.81356284500814
0,"mazda","diesel","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2700,"ohc","three_four",134,"idi",3.43,3.64,22,72,4200,31,39,18344,9.81705782453774
-1,"mercedes-benz","diesel","turbo","four","sedan","rwd","front",110,190.9,70.3,56.5,3515,"ohc","five_six",183,"idi",3.58,3.64,21.5,123,4350,22,25,25552,10.1484708704548
-1,"mercedes-benz","diesel","turbo","four","wagon","rwd","front",110,190.9,70.3,58.7,3750,"ohc","five_six",183,"idi",3.58,3.64,21.5,123,4350,22,25,28248,10.2487779376082
0,"mercedes-benz","diesel","turbo","two","hardtop_convert","rwd","front",106.7,187.5,70.3,54.9,3495,"ohc","five_six",183,"idi",3.58,3.64,21.5,123,4350,22,25,28176,10.246225830736
-1,"mercedes-benz","diesel","turbo","four","sedan","rwd","front",115.6,202.6,71.7,56.3,3770,"ohc","five_six",183,"idi",3.58,3.64,21.5,123,4350,22,25,31600,10.360912399575
-1,"mercedes-benz","gas","std","four","sedan","rwd","front",115.6,202.6,71.7,56.5,3740,"ohcv","eight_twelve",234,"mpfi",3.46,3.1,8.3,155,4750,16,18,34184,10.4395129773239
3,"mercedes-benz","gas","std","two","hardtop_convert","rwd","front",96.6,180.3,70.5,50.8,3685,"ohcv","eight_twelve",234,"mpfi",3.46,3.1,8.3,155,4750,16,18,35056,10.4647020618352
0,"mercedes-benz","gas","std","four","sedan","rwd","front",120.9,208.1,71.7,56.7,3900,"ohcv","eight_twelve",308,"mpfi",3.8,3.35,8,184,4500,14,16,40960,10.6203512597134
1,"mercedes-benz","gas","std","two","hardtop_convert","rwd","front",112,199.2,72,55.4,3715,"ohcv","eight_twelve",304,"mpfi",3.8,3.35,8,184,4500,14,16,45400,10.7232673840294
1,"mercury","gas","turbo","two","hatchback","rwd","front",102.7,178.4,68,54.8,2910,"ohc","three_four",140,"mpfi",3.78,3.12,8,175,5000,19,24,16503,9.71129746154357
2,"mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc","three_four",92,"2bbl",2.97,3.23,9.4,68,5500,37,41,5389,8.5921151179335
2,"mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1944,"ohc","three_four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6189,8.73052880173936
2,"mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc","three_four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6669,8.80522520263231
1,"mitsubishi","gas","turbo","two","hatchback","fwd","front",93,157.3,63.8,50.8,2145,"ohc","three_four",98,"spdi",3.03,3.39,7.6,102,5500,24,30,7689,8.94754601503218
3,"mitsubishi","gas","turbo","two","hatchback","fwd","front",96.3,173,65.4,49.4,2370,"ohc","three_four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9959,9.20623194393164
3,"mitsubishi","gas","std","two","hatchback","fwd","front",96.3,173,65.4,49.4,2328,"ohc","three_four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,8499,9.04770378849863
3,"mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2833,"ohc","three_four",156,"spdi",3.58,3.86,7,145,5000,19,24,12629,9.44375103564617
